City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-philippe,-21.3585,55.7679,19.77,80,35,5.14,RE,1691614497
83,bamboo flat,11.7,92.7167,28.05,83,75,2.57,IN,1691614497
84,raton,36.9034,-104.4391,27.19,12,0,3.06,US,1691614497
85,zaozersk,69.4005,32.4476,17.9,78,0,1.01,RU,1691614498
86,ampanihy,-24.7,44.75,17.69,91,2,3.82,MG,1691614498
87,badger,64.8,-147.5333,22.3,82,100,1.54,US,1691614498
88,port saint john's,-31.6229,29.5448,17.45,82,97,4.86,ZA,1691614498
89,arcachon,44.5875,-1.0519,27.18,36,0,4.63,FR,1691614498
90,westport,41.1415,-73.3579,30.71,47,40,4.92,US,1691614498
91,rosario do sul,-30.2583,-54.9142,14.34,91,80,5.48,BR,1691614498
92,alexandria,31.2156,29.9553,26.3,72,0,4.98,EG,1691614121
93,pochaiv,50.0051,25.5118,16.33,62,99,2.49,UA,1691614498
94,corinto,37.9407,22.9573,24.94,62,2,0.8,GR,1691614499
95,isafjordur,66.0755,-23.124,9.13,63,86,3.68,IS,1691614499
96,iskateley,67.6803,53.1512,12.28,83,38,2.54,RU,1691614499
97,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1691614499
98,jamestown,42.097,-79.2353,27.23,55,20,5.66,US,1691614473
99,zhuhai,22.2769,113.5678,29.92,89,20,2.06,CN,1691614499
100,nar'yan-mar,67.6713,53.087,12.5,83,43,2.5,RU,1691614345
101,gadzhiyevo,69.2551,33.3362,18.74,74,0,2.18,RU,1691614499
102,tekirova,36.5017,30.5272,28.32,88,0,1.51,TR,1691614499
103,mulanje,-16.0316,35.5,16.07,82,29,2.59,MW,1691614499
104,saint-francois,46.4154,3.9054,20.69,64,0,1.54,FR,1691614334
105,yaren,-0.5472,166.916,28.02,75,51,2.77,NR,1691614500
106,hohen neuendorf,52.6667,13.2833,16.61,85,46,2.56,DE,1691614500
107,urangan,-25.3,152.9,16.5,69,63,2.77,AU,1691614500
108,canavieiras,-15.675,-38.9472,21.76,77,0,2.49,BR,1691614380
109,mbandaka,0.0487,18.2603,21.7,95,68,0.91,CD,1691614500
110,nizhnyaya poyma,56.1622,97.1933,15.64,93,100,1.04,RU,1691614500
111,avarua,-21.2078,-159.775,24.03,69,75,8.23,CK,1691614500
112,la puebla de montalban,39.863,-4.3592,34.61,29,25,3.72,ES,1691614500
113,invercargill,-46.4,168.35,0.01,95,85,0.45,NZ,1691614299
114,olonkinbyen,70.9221,-8.7187,6.0,100,100,3.48,SJ,1691614309
115,hermanus,-34.4187,19.2345,13.0,85,0,4.36,ZA,1691614501
116,nova sintra,14.8667,-24.7167,23.02,73,51,7.43,CV,1691614501
117,nova vicosa,-17.8919,-39.3719,22.45,77,3,3.46,BR,1691614501
118,lake havasu city,34.4839,-114.3224,41.7,20,0,4.12,US,1691614501
119,manta,-0.95,-80.7333,29.88,78,75,7.6,EC,1691614355
120,opuwo,-18.0607,13.84,17.86,38,16,2.53,NA,1691614501
121,brookings,44.3114,-96.7984,27.84,61,75,3.6,US,1691614242
122,balkanabat,39.5108,54.3671,33.29,21,0,2.59,TM,1691614502
123,alofi,-19.0595,-169.9187,26.94,83,20,2.06,NU,1691614502
124,cabo san lucas,22.8909,-109.9124,33.67,70,100,3.09,MX,1691614311
